Year ,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Classification: Exploitation/Exploration,Age since 2013,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1994,Barki; H.; & Hartwick; J. (1994). Measuring User Participation; User Involvement; and User Attitude.ÊMIS Quarterly;Ê18(1); 59-82.,1,,Individual,"Develops scales for measuring user participation, involvement and attitude",Nominal,Technology as absent,"Psychology, organizationla behavior",Individual,,117,65,182,0.36,Exploitation,19,,,,,1,2,5,9,2,6,7,9,11,10,3,10,11,11,18,14,12,8,11,15,7
2007,Pavlou; P.; Liang; H.; and Xue; Y. 2007. ÒUnderstanding and Mitigating Uncertainty in Online Exchange Relationships: A Principal- Agent Perspective;Ó MIS Quarterly (31:1); pp. 105_136.,1,2,Individual,"Draws on the prinicipal-agent perspective to propose four sources of uncertainty (perceived information asymmetry, fears of seller opportunism, information privacy, and security concerns) whose effects on buyers' purchase intentions are mitigated by trust, website informativeness, product diagnosticity, and social presence. ",Proxy,Technology as Perception,"Agency theory, specifically the principal-agent perspective","Individual, Group",327,182,76,182,0.42,Exploitation,6,,,,,,,,,,,,,,,,,,1,7,16,28,29,43,36,22
1998,Zigurs; I.; and Buckland; B. 1998. ÒA Theory of Task/Technology Fit and Group Support Systems Effectiveness;Ó MIS Quarterly (September); pp. 313_335.,1,-,Group,"""This paper develops a theory of task/technology fit in GSS environments based on attributes of task complexity and their relationship to relevant dimensions of GSS technology.""",Tool,Technology as performance,Group Support Systems (GSS),Group,689,145,67,182,0.37,Exploration,15,,,,,,,,,,,3,7,4,8,14,10,14,14,20,17,24,9,15,15,7
2004,Bhattacherjee; A.; and Premkumar; G. 2004. ÒUnderstanding changes in belief and attitude toward information technology usage: A theoretical model and longitudinal test;Ó MIS Quarterly (28:2); pp. 229_254.,1,2,Individual,Examines how users' initial beliefs (PU) and attitude toward using an IT are modified by disconfirmation of their intiial expectations and satisfaction with actual usage experiences. DV = intention to continue using an IT,Proxy,Technology as Perception,Expectation Disconfirmation (or Confirmation) Theory,Individual,372,181,66,181,0.36,Exploitation,9,,,,,,,,,,,,,,,,1,5,17,12,25,22,22,30,30,17
2005,Ko; D.; Kirsch; L.; and King; W. 2005. ÒANTECEDENTS OF KNOWLEDGE TRANSFER FROM CONSULTANTS TO CLIENTS IN ENTERPRISE SYSTEM IMPLEMENTATIONS;Ó MIS Quarterly (29:1); pp. 59_85.,1,,Organization,"""This study examines the antecedents of knowledge transfer in the context of such an interfirm complex infor-mation systems implementation environment. Drawing from the knowledge transfer, information systems, and communication literatures, an inte-grated theoretical model is developed that posits that knowledge transfer is influenced by knowl-edge-related, motivational. and communication-related factors.""",Nominal,Technology as absent,Knowledge transfer,Organization,,177,70,177,0.4,Exploitation,8,,,,,,,,,,,,,,,,2,7,18,16,13,22,23,26,25,25
2000,Majchrzak; A.; Rice; R.; Malhotra; A.; King; N.; and Ba; S. 2000. ÒTechnology Adaptation: The Case of a Computer-Supported Inter-Organizational Virtual Team;Ó MIS Quarterly (24:4); pp. 569_600.,1,3,Group,"Sets out to resolve differences in models of adaptation (i.e. structuration theory, adaptive structuration theory, and the misalignment model) through examining technology  adaptation processes in a computer-supported virtual team",Ensemble,Technology as structure,"Structuration, adaptive structuration, misalingment model",(1) individual<->macro; (2) & (3) group,604,149,89,174,0.51,Exploration,13,,,,,,,,,,,,2,4,12,7,11,12,18,14,22,16,15,18,14,9
1994,Alavi; M. (1994). Computer-Mediated Collaborative Learning: An Empirical Evaluation.ÊMIS Quarterly;Ê18(2); 159-174.,1,,Individual,An experiment about how group-decision support systems can improve learning in college,Nominal,Technology as absent,Learning models,Individual,,107,42,171,0.25,Exploitation,19,,,,,,3,2,8,7,6,5,6,14,4,9,9,10,8,10,10,13,13,10,13,11
2002,Zhu; K. 2002. ÒE-commerce metrics for net-enhanced organizations: Assessing the value of e-commerce to firm performance in the manufacturing sector;Ó Information Systems Research (13:3); pp. 275_295.,1,2,Organization,"Theorizes metrics for measuring e-commerce as it relates to performance in the manufacturing sector. These include dimensions of information, transaction, customization, and supplier connection.",Tool,Technology as productivity,Dynamic capabilities and resource-based view,Organization,440,156,48,163,0.29,Exploration,11,,,,,,,,,,,,,1,1,5,12,15,17,13,21,20,21,10,18,9
1998,Dennis; A.; and Kinney; S. 1998. ÒTesting media richness theory in the new media: The effects of cues; feedback; and task equivocality;Ó Information Systems Research.,1,1,Group,Studied the effects of media-richness in decision-making,Tool,Technology as performance,Media richness theory,Individual,573,129,48,158,0.3,Exploitation,15,,,,,,,,,,3,2,8,6,4,6,6,15,13,16,22,15,10,12,14,6
1996,Kumar; K.; & van Dissel; H. G. (1996). Sustainable Collaboration: Managing Conflict and Cooperation in Interorganizational Systems.ÊMIS Quarterly;Ê20(3); 279-300.,1,,Organization/Network,Creates a typology of information-related interorganizational systems,Ensemble,Technology as structure,Interorganizational collaboration,Organization/Network,,120,51,157,0.32,Exploration,17,,,,,,,,,5,4,10,6,4,4,4,7,6,12,10,15,16,19,10,12,13
2000,Agarwal; R.; Sambamurthy; V.; and Stair; R. M. 2000. ÒResearch Report: The Evolving Relationship Between General and Specific Computer Self-Efficacy?An Empirical Assessment;Ó Information Systems Research (11:4); pp. 418_430.,1,1,Individual,Examines how general and task-specific computer efficacy differ across tasks,Nominal,Technology as context,Computer self-efficacy,Individual,388,130,53,152,0.35,Exploitation,13,,,,,,,,,,,,1,2,13,6,4,11,8,17,18,10,20,11,19,12
2002,Chatterjee; D.; Grewal; R.; and Sambamurthy; V. 2002. ÒShaping up for E-Commerce: Institutional Enablers of the Organizational Assimilation of Web Technologies;Ó MIS Quarterly (26:2); pp. 65_89.,1,1,Org,"Draws on structuration theory's structures of signification, legitimizaton, and domination to test the effects of top management championship, strategic investement rationale, and extent of coordination on the extent of organizational assimilation of web technologies.",Proxy,Technology as Diffusion,Claims to be Institutional theory but really based on structuration,Individual<->Macro,426,142,65,151,0.43,Exploitation,11,,,,,,,,,,,,,,2,7,8,15,12,20,15,19,18,20,9,6
1997,Ngwenyama; O. K.; & Lee; A. S. (1997). Communication Richness in Electronic Mail: Critical Social Theory and the Contextuality of Meaning.ÊMIS Quarterly;Ê21(2); 145-167.,0,,Group,Develops an email information richness construct,Ensemble,Technology as embedded system,Critical Social Theory,Group,,98,84,150,0.56,Exploration,16,,,,,,,,,3,4,11,7,11,6,10,11,14,8,13,11,11,13,5,9,3
2002,Chen; P.-Y. (Sharon); and Hitt; L. M. 2002. ÒMeasuring Switching Costs and the Determinants of Customer Retention in Internet-Enabled Businesses: A Study of the Online Brokerage Industry;Ó Information Systems Research (13:3); pp. 255_274.,1,,Indiidual,"""We then examine how systems usage, service design, and other firm- and individual-level factors affect switching and retention.""",Nominal,Technology as absent,Brand loyalty,Individual,,140,36,147,0.24,Exploitation,11,,,,,,,,,,,,,1,1,5,10,12,9,11,16,9,20,24,11,18
2001,Piccoli; G.; Ahmad; R.; and Ives; B. 2001. ÒWeb-Based Virtual Learning Environments: A Research Framework and a Preliminary Assessment of Effectiveness in Basic IT Skills Training;Ó MIS Quarterly (25:4); pp. 401_426.,1,1,Individual,"This study examines the effectivenss of a web-based virtual learning environment (VLE) vs. computer aided instruction (CAI) in the context of information technology skills training.  Dependent variables are performance, CSE, and satisfaction.",Tool,"Technology as productivity, performance, enhancer",Technology-mediated learning literature,Individual ,655,138,33,146,0.23,Exploration,12,,,,,,,,,,,,,1,3,4,10,7,9,17,13,13,25,23,14,7
2001,Sabherwal; R. (2001). Alignment between business and IS strategies: A study of prospectors; analyzers; and defenders. Information systems research; 12(1); 11_33.,1,2,Organization,"Examines the impact of alignment (of IS and business strategies) on perceived performance of defenders, analyzers, and prospectors. If IS strategy is aligned with the business strategies, higher performance is generally to be expected in prospectors and analyzers",Tool,"Technology as productivity, performance, enhancer","Miles & Snow: Defender, Analyzer, and Prospector business strategies",Organization,562,133,78,143,0.55,Exploration,12,,,,,,,,,,,,1,,3,6,6,20,14,10,12,17,14,17,19,4
1995,Leidner; D. E.; & Jarvenpaa; S. L. (1995). The Use of Information Technology to Enhance Management School Education: A Theoretical View.ÊMIS Quarterly;Ê19(3); 265-291.,1,,Individual,Creates a taxonomy of IT impact on learning,Tool,Technology as enhancer,Learning theories,Individual,,92,27,142,0.19,Exploration,18,,,,,,,1,7,7,1,4,9,12,5,4,8,13,9,14,9,9,7,8,10,5
1998,Ang; S.; and Straub; D. 1998. ÒProduction and Transaction Economies and IS Outsourcing: A Study of the U.S. Banking Industry;Ó MIS Quarterly (December); pp. 535_552.,1,,Organization,"Studies the impact of production cost, transaction cost, and financial slack on outsourcing decisions.",Proxy,Technology as Perception,Production/transaction Economic theory,Organization,,121,64,141,0.45,Exploitation,15,,,,,,,,,,1,,1,2,8,8,6,11,11,11,21,17,11,9,15,9
1995,Actualizing Organizational Memory with Information Systems,1,1,Organization,Develops a model for an effectiveness-based Organizational Memory Information System,Ensemble , technology as structure,Collective memory theory + organizational memory IS,Group,710,77,51,137,0.37,Exploitation,18,,,,,,,1,5,4,6,10,11,10,7,6,12,9,6,9,2,7,8,12,7,5
1996,Chidambaram; L. (1996). Relational Development in Computer-Supported Groups.ÊMIS Quarterly;Ê20(2); 143-165.,1,,Group,Shows how computer-supported groups exchange social information and develop strong relational links,Tool,Technology as productivity,Group development,Group,,81,48,135,0.36,Exploitation,17,,,,,,,,3,2,7,8,8,10,9,7,9,8,10,12,8,10,6,8,7,3
1997,Chau; P. Y.; & Tam; K. Y. (1997). Factors Affecting the Adoption of Open Systems: An Exploratory Study.ÊMIS Quarterly;Ê21(1); 1-24.,1,,Organization,Develops and tests a model of seven factors which affect the adoption of open systems,Proxy,Technology as perception,Open Innovation literature,Organization,,102,49,121,0.4,Exploitation,16,,,,,,,,,,1,2,4,3,5,3,2,14,10,8,11,14,7,14,14,8
1996,Nelson; K.; and Cooprider; J. 1996. ÒThe Contribution of Shared Knowledge to IS Group Performance;Ó MIS Quarterly (December); pp. 409_432.,1,,Group,"""The results of this study show that shared knowledge mediá ates the relationship between IS performance and trust and influence and that increasing levá els of shared knowledge between IS and line groups leads to increased IS performance.""",Proxy,Technology as Perception,Shared/organizational knowledge,Group,,106,53,121,0.44,Exploitation,17,,,,,,,,,,1,5,2,4,1,2,4,5,3,7,13,10,21,19,13,11
1997,Advancing the Theory of Adaptive Structuration : The Development of a Scale to Measure Faithfulness of Appropriation,1,1,Organization,Develops a faithfulness of appropriation scale for Adaptive Structuration Theory,Proxy ,Technology as perception,Adaptive Structuration Theory,Organization,247,109,51,119,0.43,Exploitation,16,,,,,,,,,,1,2,1,1,3,2,7,9,6,9,15,6,6,19,16,16
1997,Executive decisions about adoption of information technology in small business: Theory and empirical tests,1,1,Individual,"Tests theory of planned behavior, discovers strong support as well as increasing importance of social expectations in larger businesses and lower importance of intra-firm consequences and control over potential adoption barriers",Proxy , technology as perception,Theory of Planned Behavior,Individual,431,86,35,113,0.31,Exploitation,16,,,,,,,,,,1,4,3,5,9,5,11,12,8,9,10,4,14,8,5,5
1996,Dennis; A. R. (1996). Information Exchange and Use in Group Decision Making: You Can Lead a Group to Information; but You Can't Make It Think.ÊMIS Quarterly;Ê20(4); 433-457.,1,,Group,Examines how group decision maing systems influence information exchange and optimal decision-making,Nominal,Technology as absent,Group decision making,Group,,78,37,112,0.33,Exploitation,17,,,,,,,,1,1,5,3,8,1,10,5,8,6,8,7,9,10,6,12,8,4
2001,Butler; B. S. 2001. ÒMembership Size; Communication Activity; and Sustainability: A Resource-Based Model of Online Social Structures;Ó Information Systems Research (12:4); pp. 346_362.,1,2,Group,"Examines if social structures are different online compared to co-located situations, using a resource-based model",Nominal,Technology as absent,Communication theories,Group,394,106,45,112,0.4,Exploration,12,,,,,,,,,,,,,1,,5,5,4,12,10,6,18,13,8,20,10
1996,Top Management Support; External Expertise and Information Systems Implementation in Small Businesses,1,1,Organization,"Builds a model to weight the relative importance of top management support, external expertise in small businesses",Nominal , Technology as absent,IS theory on top management support & external expertise,Organization,343,79,46,108,0.43,Exploitation,17,,,,,,,,2,,4,4,3,4,9,3,2,4,8,9,5,9,14,9,11,8
2006,Hong; S.-J.; and Tam; K. Y. 2006. ÒUnderstanding the Adoption of Multipurpose Information Appliances: The Case of Mobile Data Services;Ó Information Systems Research (17:2); pp. 162_179.,1,1,Individual,"Develops a framework for the adoption of multipurpose information artifacts. The DVs are perception of technology, demographics, user psychographics, and social influence, the DV is behavioral intention",Proxy,Technology as perception,"TAM, innovation diffusion",Individual,201,108,35,108,0.32,Exploitation,7,,,,,,,,,,,,,,,,,,2,5,11,15,20,17,24,14
2006,Srite; M.; and Karahanna; E. 2006. ÒThe role of espoused national cultural values in technology acceptance;Ó MIS Quarterly (30:3); pp. 679_704.,1,1,Individual,"Extends TAM by adding espoused national culture constructs to the model as moderators (i.e. espoused masculinity/femininity, espoused individualism/collectivism, espoused power distance, and espoused uncertainty avoidence).",Proxy,Technology as Perception,"TAM, Culture",Individual,220,105,43,105,0.41,Exploitation,7,,,,,,,,,,,,,,,,,,1,8,21,8,16,19,17,15
1999,Broadbent; M.; Weill; P.; and Clair; D. St. 1999. ÒThe Implications of Information Technology Infrastructure for Business Process Redesign;Ó MIS Quarterly (23:2); pp. 159.,1,-,Organization,Examines the links between IT infrastructures and business process redesign,Ensemble,Technology as structure,Business Process Redesign theories,Organization,515,78,58,101,0.57,Exploitation,14,,,,,,,,,,,4,3,2,8,6,7,7,5,11,9,11,12,4,9,3
2000,Moore; J. 2000. ÒOne road to turnover: An examination of work exhaustion in technology professionals;Ó MIS Quarterly (24:1); pp. 141_168.,1,,Individual,"""The concept of work exhaustion (or job burnout) from the management and psychology research literature is examined in the context of technology professionals Data were collected from 270 IT professionals and managers in various industries across the United States. Through structural equation modeling, work exhaustion was shown to partially mediate the effects of workplace factors on turnover intention.""",Nominal,Technology as absent,Work exhaustion,Individual,,92,32,98,0.33,Exploitation,13,,,,,,,,,,,,1,,2,2,8,5,8,10,5,12,11,15,7,11
2003,Lamb; R.; and Kling; R. 2003. ÒReconceptualizing users as social actors in information systems research;Ó MIS quarterly (27:2); pp. 197_236.,1,3,Individual,"Theory paper reconceptualizing the concept of ""user"" as a social actor whose social interactions are infused with IT use.",Ensemble,Technology as structure,"Labeling theory, Institutional theory, Structuration",Individual<->Macro,437,97,72,98,0.73,Exploration,10,,,,,,,,,,,,,,,1,3,4,7,10,13,13,16,9,14,8
2004,Swanson; E.; and Ramiller; N. 2004. ÒInnovating Mindfully with Information Technology;Ó MIS Quarterly (28:4); pp. 553_583.,1,2,Org,Research essay examining organizational innovation with IT,Nominal,Technology as Absent,Mindfulness,Individual,310,97,55,97,0.57,Exploration,9,,,,,,,,,,,,,,,,,4,10,7,14,19,10,17,12,4
1994,Brown; C. V.; & Magill; S. L. (1994). Alignment of the IS Functions With the Enterprise: Toward a Model of Antecedents.ÊMIS Quarterly;Ê18(4); 371-403.,1,,Organization,"Developers a model of antecendents (environmental, organizational, and IS-specific) that predicts whether organizations use decentralized, centraized, or hybrid locus of responsibility for IS organization design",Ensemble, technology as structure,"Contingency theory, organizational structure theory",Organization,,58,63,93,0.68,Exploration,19,,,,,,1,3,4,1,6,2,6,6,3,3,2,13,5,4,3,5,8,9,5,4
2004,Jones; Q.; Ravid; G.; and Rafaeli; S. 2004. ÒInformation Overload and the Message Dynamics of Online Interaction Spaces: A Theoretical Model and Empirical Exploration;Ó Information Systems Research (15:2); pp. 194_210.,1,2,Group,"Focuses on communication patterns in newsgroups. IV's: interactive communications, simplicity of messages, and group complexity DV's: complexity of response messages, active participation",Tool,Technology as changing social relations,"Critical Mass Theory, Information Overload Theory",Group,239,90,35,90,0.39,Exploitation,9,,,,,,,,,,,,,,,,2,4,7,12,10,16,9,8,16,6
2006,Dinev; T.; & Hart; P. (2006). An Extended Privacy Calculus Model for E-Commerce Transactions. Information Systems Research; 17(1); 61_80. doi:10.1287/isre.1060.0080,1,1,Individual,"A model to calculate the trade-off between privacy and disclosure in online transactions is developed. The IVs Personal Internet  and Perceived internet privacy risk, mediated by internet privacy concerns and internet trust are theorized to lead to willingness to provide personal information to transact on the internet (DV)",Nominal,Technology as absent,TRA and TPB models,Individual,208,90,43,90,0.48,Exploitation,7,,,,,,,,,,,,,,,,,1,6,6,8,11,17,13,20,8
2005,Ahuja; M.; and Thatcher; J. 2005. ÒMoving beyond Intentions and toward the Theory of Trying: Effects of Work Environment and Gender on Post-Adoption Information Technology Use;Ó MIS Quarterly (29:3); pp. 427_459.,1,2,Individual,"This paper draws on Bagozzi's theory of trying, as well as the theory of reasoned action, to extend understanding of individuals' behavioral attempts to innovate with IT.  ",Proxy,Technology as Perception,Theory of Trying,Individual,235,87,41,87,0.47,Exploration,8,,,,,,,,,,,,,,,,,,6,8,10,14,15,11,15,8
1998,Goodman; P.; and Darr; E. 1998. ÒComputer-Aided Systems and Communities: Mechanisms for Organizational Learning in Distributed Environments;Ó MIS Quarterly (December).,1,-,Organization,"Explains the links between computer-aided systems, organizational learning process, and organizational effectiveness, moderated by organizational context",Ensemble,Technology as embedded system,Computer-aided systems (CAS) & organizational learning,Organization,358,71,37,84,0.44,Exploitation,15,,,,,,,,,,,2,2,2,5,2,10,6,6,8,8,7,8,10,3,5
2007,OÕLeary; M.; and Cummings; J. 2007. ÒThe Spatial; Temporal; and Configurational Characteristics of Geographic Dispersion in Teams;Ó MIS Quarterly (31:3); pp. 433_452.,1,3,Group,"Presents a new conceptualization, as well as measures, of geographic dispersion as a multi-dimensional construct to extend understanding of the relationship between (spatial, temporal, and configurational) disperson and team outcomes (communication, problems solving, coordination complexity, awareness, and intragroup conflict).",Nominal,Technology as Absent,Literature on proximity,N/A,152,82,21,82,0.26,Exploration,6,,,,,,,,,,,,,,,,,,1,1,5,10,13,24,17,11
2001,Barki; H.; and Hartwick; J. 2001. ÒInterpersonal Conflict and Its Management in Information System Development;Ó MIS Quarterly (25:2); pp. 195_228.,1,2,Project,"This paper tests a model of how individuals participating in ISD projects perceive interpersonal conflict (in terms of disagreement, interference, and negative emotion), management of the conflict, and ISD outcomes (process satisfaction, system quality, system attitude, adherence to budget, adherence to schedule, adherence to specifications, overall success) (DVs).",Proxy,Technology as perception,Intepersonal conflict literature,"Project, System, Individual, Organization",255,75,27,81,0.33,Exploration,12,,,,,,,,,,,,,1,4,1,5,6,6,10,15,16,7,4,4,2
2004,Schultze; U.; and Orlikowski; W. J. 2004. ÒA Practice Perspective on Technology-Mediated Network Relations: The Use of Internet-Based Self-Serve Technologies;Ó Information Systems Research (15:1); pp. 87_106.,1,,Organization,"""In this paper, we explore the implications of using IT within interfirm relations through an analysis of cus-tomersÕ and sales representativesÕ (reps) work activities and interpersonal relationships. We apply a practice perspective that highlights how macrolevel phenomena such as interfirm relations are created and recreated through the microlevel actions taken by firm members.""",Ensemble,Technology as changing social relations,Practice theory,Organization,,80,45,80,0.56,Exploitation,9,,,,,,,,,,,,,,,,2,5,6,11,8,6,13,11,8,10
1999,Todd; P.; and Benbasat; I. 1999. ÒEvaluating the Impact of DSS; Cognitive Effort; and Incentives on Strategy Selection;Ó Information Systems Research (10:4); pp. 356_374.,1,,Individual,"""Working from notions of restrictiveness and decisional guid- ance (Silver 1990) supplemented by the cost-benefit framework of cognition, we explain how DSS capabilities influence decision behavior and performance through the manipulation of effort.""",Tool,Technology as performance,Decision Support Systems,Organization,,67,41,80,0.51,Exploitation,14,,,,,,,,,,,,4,1,5,3,3,13,8,7,7,6,6,5,7,5
2002,Wheeler; B. C. 2002. ÒNEBIC : A Dynamic Capabilities Theory for Assessing Net-Enablement;Ó Information Systems Research (13:2); pp. 125_146.,1,2,Organization,"Develops a theory of net-enabled dynamic capabilities using the constructs choosing new IT, matching economic opportunities with IT, executing business innovation for growth,  theorized to lead to Value Potential, andassessing customer value, theorized to lead to Value Realized",Tool,Technology as productivity,Dyanamic capabilities,Organization,238,71,39,80,0.49,Exploration,11,,,,,,,,,,,,,2,2,5,6,8,6,11,7,8,10,4,10,1
2001,Subramani; M. 2001. ÒThe impact of e-commerce announcements on the market value of firms;Ó Information Systems Research (12:2); pp. 135_154.,1,1,Market,"Examines how e-Commerce announcements (IV) impact the market value of firms (DV), using event study methodology and stock market data",Nominal,Technology as strategy,Resource-based view,Organization,271,67,35,79,0.44,Exploitation,12,,,,,,,,,,,,,1,3,8,3,6,15,4,5,5,9,11,8,1
2004,Schultze; U.; & Orlikowski; W. J. (2004). A Practice Perspective on Technology-Mediated Network Relations: The Use of Internet-Based Self-Serve Technologies. Information Systems Research; 15(1); 87_106. doi:10.1287/isre.1030.0016,1,3,Organization,"Explains the effects of IT as a tool to mediate electronic brokerage relationships. IT created more arms-length relationships with less trust/intimacy, more self interest and less social capital",Tool,technology as changing social relations,Structuration Theory,Organization,193,75,41,75,0.55,Exploration,9,,,,,,,,,,,,,,,,2,5,6,11,8,6,13,11,8,5
2003,Susarla; A.; Barua; A.; and Whinston; A. 2003. ÒUnderstanding the service component of application service provision: empirical analysis of satisfaction with ASP services;Ó MIS Quarterly (27:1); pp. 91_123.,1,,Individual,"""In this paper, we draw upon the consumer satisfaction paradigm widely employed in marketing literature to analyze post-usage satisfaction with ASP services. In this paper, we draw upon the consumer satisfaction paradigm widely employed in marketing literature to analyze post-usage satisfaction with ASP services.""",Nominal,Technology as context,Consumer satisfaction,Individual,,72,31,74,0.42,Exploitation,10,,,,,,,,,,,,,,,2,6,3,6,10,6,4,6,6,14,11
2004,Kirsch; L. J. 2004. ÒDeploying Common Systems Globally: The Dynamics of Control;Ó Information Systems Research (15:4); pp. 374_395.,1,,Organization,Examines how control is exercised during different phases of global IS requirements determination/development/implementation,Ensemble,Technology as development project,Control/governance theory,Organization,,73,50,74,0.68,Exploration,9,,,,,,,,,,,,,,,,,3,4,5,14,6,7,12,16,6
2008,Predicting different conceptualizations of system use: the competing roles of behavioral intention; facilitating conditions; and behavioral expectation.,1,1,Individual,"IVs: Behavioral Intention, Facilitating Condition, Behavioral Expectation; DV: Use (Duration, Frequency, Intensity)",Proxy,Technology as Perception,TAM and UTAUT,Individual,129,70,30,70,0.43,Exploration,5,,,,,,,,,,,,,,,,,,,,3,9,13,21,17,7
