Year ,Type of Study,Journal,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Theory Borrowed (Yes/No),Primary (outside of IS) or Secondary (inside of IS) borrowing?,1_Classification: Exploitation/Exploration,2_Classification: Exploitation/Exploration,3_Classification: Exploitation/Exploration,4_Classification: Exploitation/Exploration,"Classification: instantiation, modifying, or extending","Magnitude: none, small, medium, large",Constructs/relationship/logic changed?,"If Not Borrowed, is Source Theory Inductive or Axiomatic?",Cannot be Classified (Notes),Comments,Why cited?,Age since 2013,Cites in first 5 years,Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,h1_intial_author_1,h1_2013_author_1,h1_intial_author_2,h1_2013_author_2,h1_intial_author_3,h1_2013_author_3,h1_intial_author_4,h1_2013_author_4,h1_intial_author_5,h1_2013_author_5,h1_initial_sum,h1_2013_sum,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
2007,Theoretical,MISQ,"OêLeary, M., and Cummings, J. 2007. –The Spatial, Temporal, and Configurational Characteristics of Geographic Dispersion in Teams,” MIS Quarterly (31:3), pp. 433_452.",1,3,Group,"Presents a new conceptualization, as well as measures, of geographic dispersion as a multi-dimensional construct to extend understanding of the relationship between (spatial, temporal, and configurational) disperson and team outcomes (communication, problems solving, coordination complexity, awareness, and intragroup conflict).",Nominal,Technology as Absent,Literature on proximity,N/A,152,82,21,82,0.26,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Presents a new conceptualization of geographic dispersion,-,-,The paper reviews literature on geographic disperson to propose three critical dimensions of dispersion in teams that impact team outcomes. ,,6,,1,2012,,,,,,,,,,,,,,,,,,1,1,5,10,13,24,17,11,2,5,13,16,,,,,,,15,21,2007,MIS Quarterly: Management Information Systems,31,3,,433,452,,195,,http://www.scopus.com/inward/record.url?eid=2-s2.0-34548435986&partnerID=40&md5=e751c9e194871e7ae8f80019786152c1,Conference Paper,Scopus,2-s2.0-34548435986
2007,Survey,MISQ,"Kanawattanachai, P., and Yoo, Y. 2007. –The Impact of Knowledge Coordination on Virtual Team Performance over Time,” MIS Quarterly (31:4), pp. 783_808.",1,2,Group,"This study develops a model of how behavioral dimensions of transactive memory systems (TMS)--expertise location, task-knowledge coordination, and cognition-based trust-- of virtual teams impacts team performanceover time. ",Nominal,Technology as Absent,TMS literature,Group,157,65,23,65,0.35,Yes,Primary,Exploration,Exploitation,Exploration,Exploration,Extending,Medium,"Implements several context specific constructs, but does not change the logic of TMS theory",-,-,Applies the logic of TMS  from prior studyies to examine knowledge coordination in virtual teams over time.,,6,,1,2012,,,,,,,,,,,,,,,,,,1,4,2,12,12,14,11,9,3,3,13,18,,,,,,,16,21,2007,MIS Quarterly: Management Information Systems,31,4,,783,808,,194,,http://www.scopus.com/inward/record.url?eid=2-s2.0-38549134028&partnerID=40&md5=82f46c2621260eec54623ca609d21f5d,Article,Scopus,2-s2.0-38549134028
2008,Qualitative,MISQ,"Levina, N., and Vaast, E. 2008. –INNOVATING OR DOING AS TOLD? STATUS DIFFERENCES AND OVERLAPPING BOUNDARIES IN OFFSHORE COLLABORATION,” MIS Quarterly (32:2), pp. 307_332.",1,2,Project,Adopts a practice perspective and case study approach to investigate how organizational and geographical differences create boundaries in offshore application development projects.,Ensemble,Technology as structure,Practice theory,Individual<->Macro,182,64,26,64,0.41,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Medium,"Formulates a number of context-specific constructs inductively, that goes beyond the scope of practice theory",-,"This paper is on the verge as being classified as a ""inductive"" non-borrowing paper. If every paper that uses a perspective is classified as instantiation, then something seems wrong.",Practice theory applied to the context of oursourcing with a fair amount of inductive theory development,,5,,1,2012,,,,,,,,,,,,,,,,,,,1,3,4,11,15,27,3,18,18,8,12,,,,,,,26,30,2008,MIS Quarterly: Management Information Systems,32,2,,307,332,,203,,http://www.scopus.com/inward/record.url?eid=2-s2.0-44449169838&partnerID=40&md5=7255f3e3d9b6e9072474dca5d4b81281,Article,Scopus,2-s2.0-44449169838
1999,Survey,ISR,"Segars, A., and Grover, V. 1999. –Profiles of strategic information systems planning,” Information Systems Research (10:3), pp. 199_232.",1,3,Organization,Identifies five distinct profiles of IS Strategic Planning,Nominal,Technology as absent,Stategic Management,Organization,185,47,34,56,0.61,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Creates new strategic management constructs and rearranges them vis-š-vis the original theory,-,-,Strategic management principles distilled and applied to IS planning,,14,,5,2008,,,,,,,,,,,,,,5,,3,9,3,6,3,5,6,5,3,4,13,19,11,46,,,,,,,24,65,1999,Information Systems Research,10,3,,199,232,,116,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0006528240&partnerID=40&md5=6aadc0907dd1f45ddc46ac7529501dac,Article,Scopus,2-s2.0-0006528240
2001,Econometrics,MISQ,"Fichman, R. 2001. –THE ROLE OF AGGREGATION IN THE MEASUREMENT OF IT-RELATED ORGANIZATIONAL INNOVATION,” MIS Quarterly (25:4), pp. 427_455.",1,,Organization,Develops a model for when aggregation of IT innovation constructs is admissible,Proxy,Technology as performance,Organizational Innovation,Organization,,48,25,51,0.49,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Develops a new construct for aggregating other innovation-related constructs,-,-,"Novel theory development - however, more methodology related",,12,,3,2010,,,,,,,,,,,,,1,,2,2,5,9,3,3,3,7,9,4,3,6,11,,,,,,,,,6,11,2001,MIS Quarterly: Management Information Systems,25,4,,427,455,,114,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0346845286&partnerID=40&md5=d1422f25fd2b58c408c7f5d91e0fd920,Article,Scopus,2-s2.0-0346845286
2008,Qualitative,MISQ,"Leonardi, P., and Bailey, D. 2008. –TRANSFORMATIONAL TECHNOLOGIES AND THE CREATION OF NEW WORK PRACTICES: MAKING IMPLICIT KNOWLEDGE EXPLICIT IN TASK-BASED OFFSHORING,” MIS Quarterly (32:2), pp. 411_436.",1,,Organization,"The authors propose ""five new work practices to transfer occupational knowledge to the offshore site. The five practices were defining requirements, moni- toring progress, fixing returns, routing tasks strategically, and filtering quality.""",Ensemble,Technology as embedded system,Theory on transformational technologies,Organization,,46,21,47,0.45,Yes,Secondary,Exploration,Exploitation,Exploration,Exploration,Extending,Large,Introduces 5 knowledge-transfer related practices,-,-,"Introduces new forms of practice in the context of knowledge transfer - maybe not entirely unique or surprising, but at least not conceptualized in that manner previously.",,5,,2,2011,,,,,,,,,,,,,,,,,,,4,7,4,9,5,9,8,8,19,7,11,,,,,,,15,30,2008,MIS Quarterly: Management Information Systems,32,2,,411,436,,93,,http://www.scopus.com/inward/record.url?eid=2-s2.0-44349187454&partnerID=40&md5=96a12352b6a1bdf1e69d0bac259a318c,Article,Scopus,2-s2.0-44349187454
1997,Qualitative,ISR,Examining the emergence of hybrid IS governance solutions: Evidence from a single case site,1,3,Organization,"Attempts to explain why hybrid IS governance solutions are hetergenously deployed through the various business units of an enterprise. Relevant variables for business unit adoption are: organic decision-making, high business unit autonomy, a differentiation competitive strategy, and an unstable industry environment",Proxy, technology as perception,IS Governance,Organization,202,34,28,41,0.68,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,New construct: hybrid IS governance,,,"Builds new constructs through synthesis and inductive case study research. However, it could have been any strategic inititative being rolled out, not specifically IS",,16,,3,2010,,,,,,,,,1,1,1,2,,1,1,,2,1,5,3,3,3,8,4,5,8,12,,,,,,,,,8,12,1997,Information Systems Research,8,1,,69,94,,153,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0031489701&partnerID=40&md5=e81e47f9dea31a4daf81bccf7fff3fb9,Article,Scopus,2-s2.0-0031489701
2003,Analytical Modeling,ISR,"Fan, M., Stallaert, J., and Whinston, A. B. 2003. –Decentralized Mechanism Design for Supply Chain Organizations Using an Auction Market,” Information Systems Research (14:1), pp. 1_22.",1,3,Market,"Examines incentive structures in decentralized supply chains and designs a market-based coordination system based on incentives and an auction mechanism, leading to optimal market prices",Computational,Model,Brown et al (1987) multicommodity network flow problem,Market,99,34,8,35,0.23,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,"Modularizes the supply chain concept in the MCNFP, thereby changing the logic of the model",-,-,Creates a modular version of the MCNFP theory that can handle extremely large supply chains,,10,,4,2009,,,,,,,,,,,,,,1,,2,3,5,5,5,1,3,4,5,1,6,12,9,12,30,40,,,,,45,64,2003,Information Systems Research,14,1,,1,22,,64,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0037626069&partnerID=40&md5=35a1487536c0b522bb6657bcc22c12e5,Article,Scopus,2-s2.0-0037626069
2009,Experiment,MISQ,"Cyr, D., Head, M., Larios, H., and Pan, B. 2009. –EXPLORING HUMAN IMAGES IN WEBSITE DESIGN: A MULTI-METHOD APPROACH,” MIS Quarterly (33:3), pp. 539_566.",1,2,Individual,Applies the logic of visual rhetoric theory to examine how trust in a website (DV) is influenced by image appeal and perceived social presence (Ivs).,Proxy,Technology as Perception,Visual rhetoric,Individual,53,28,9,28,0.32,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Adds social presence to image appeal theory - thereby incorporating a new construct of a different ontological stature,-,-,"Focuses on hedonic responses of individuals, rather than on instrumental (TAM-based) perceptions.  Model is extremely parsimonious, parts of the value seems to lie in different methods used (experimental task, survey, and interviews) and respondents from 3 different countries, introducing a cultural element.",,4,,1,2012,,,,,,,,,,,,,,,,,,,,,4,4,7,9,4,11,13,14,16,1,3,13,16,,,39,48,2009,MIS Quarterly: Management Information Systems,33,3,,539,566,,112,,http://www.scopus.com/inward/record.url?eid=2-s2.0-69549083452&partnerID=40&md5=f030b2562fa3e3178fe369cd0b1edc3b,Article,Scopus,2-s2.0-69549083452
2007,Survey,ISR,"Tanriverdi, H., Konana, P., and Ge, L. 2007. –The Choice of Sourcing Mechanisms for Business Processes,” Information Systems Research (18:3), pp. 280_299.",1,3,Organization,Builds a model for predicting and explaining sourcing mechanisms dependent on the level of modularity and IT detachability.,Tool,Technology as enhancer/productivity,Modular systems theory,Organization,65,23,14,23,0.61,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Medium,"Extends modularity theory with ""IT detachability""",-,-,Provides a specific application of systems theory in a technology context with focus on the IT artifact,,6,,2,2011,,,,,,,,,,,,,,,,,,,,3,6,4,3,7,,7,11,13,14,1,1,,,,,21,26,,,,,,,,,,,,,,
2009,Experiment,ISR,"Fuller, R. M., and Dennis, A. R. 2009. –Does Fit Matter? The Impact of Task-Technology Fit and Appropriation on Team Performance in Repeated Tasks,” Information Systems Research (20:1), pp. 2_17.",1,3,Group,Examines task-technology fit as a predictor of appropriation over time. Finds that FAM only predicts initial usage.,Tool,Technology as performance,Fit-Appropriation Model (FAM),Group,39,23,10,23,0.43,Yes,Secondary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Adds temporal dimension,-,-,Shows that FAM is not valid across time,,4,,2,2011,,,,,,,,,,,,,,,,,,,,,4,8,3,7,1,5,5,35,36,,,,,,,40,41,2009,Information Systems Research,20,1,,2,17,,60,10.1287/isre.1070.0167,http://www.scopus.com/inward/record.url?eid=2-s2.0-67649529416&partnerID=40&md5=c8407d5b146659284e9412bf7385176f,Article,Scopus,2-s2.0-67649529416
2010,Survey,MISQ,"Beaudry, A., and Pinsonneault, A. 2010. –THE OTHER SIDE OF ACCEPTANCE: STUDYING THE DIRECT AND INDIRECT EFFECTS OF EMOTIONS ON INFORMATION TECHNOLOGY USE,” MIS Quarterly (34:4), pp. 689_710.",1,3,Individual,"Develops a framework of emotions and empirically tests the relationships between four emotions (excitement, happiness, anger and anxiety) and IT use (extent of use). ",Proxy,Technology as Perception,Coping model of user adaptation/Appraisal theory,Individual,35,22,11,22,0.5,Yes,Secondary,Exploration,Exploitation,Exploration,Exploration,Extending,Medium,Adds multiple new constructs to TAM,-,-,Challenges assumptions that IT use is primarily based on individuals' cognitive perceptions about the functional nature of IT. ,,3,,0,2013,,,,,,,,,,,,,,,,,,,,,,2,7,7,6,2,5,19,22,,,,,,,21,27,2010,MIS Quarterly: Management Information Systems,34,4,,689,710,,96,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953288120&partnerID=40&md5=6709e47f1b7b0918af021c1971f5c5a0,Article,Scopus,2-s2.0-79953288120
1995,Theoretical,MISQ,"Sprague Jr., R. H. (1995). Electronic Document Management: Challenges and Opportunities for Information Systems Managers.¾MIS Quarterly,¾19(1), 29-49.",0,,Technical, Develops the concept of an electronic document,Ensemble,Technology as embedded system,Definitions of document,Technical,,8,12,19,0.63,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Develops an electronic document construct,,,Develops an electronic document construct,,18,,9,2004,,,,,,1,1,1,2,,2,1,1,,2,,,1,,2,1,1,1,1,1,6,10,,,,,,,,,6,10,1995,MIS Quarterly: Management Information Systems,19,1,,29,49,,86,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0002367759&partnerID=40&md5=193b1e734eda30a87aa9795c3c919415,Article,Scopus,2-s2.0-0002367759
2008,Survey,ISR,"Ragu-Nathan, T. S., Tarafdar, M., Ragu-Nathan, B. S., and Tu, Q. 2008. –The Consequences of Technostress for End Users in Organizations: Conceptual Development and Empirical Validation,” Information Systems Research (19:4), pp. 417_433.",1,3,Individual,"Examines the effect of technostress on job satisfaction, organizational- and continuance commitment",Proxy,Technology as perception,Transaction-based model of stress,individual,34,19,9,19,0.47,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Builds 2 technostress constructs,-,-,Innovates around a new construct - techno stress,,5,,1,2012,,,,,,,,,,,,,,,,,,,,,2,5,4,7,1,16,18,10,14,8,9,10,12,,,44,53,2008,Information Systems Research,19,4,,417,433,,91,10.1287/isre.1070.0165,http://www.scopus.com/inward/record.url?eid=2-s2.0-61349088062&partnerID=40&md5=a69da1c524451ee7de9741ebe8cea9a2,Article,Scopus,2-s2.0-61349088062
2010,Survey,ISR,"Rai, A., and Tang, X. 2010. –Leveraging IT Capabilities and Competitive Process Capabilities for the Management of Interorganizational Relationship Portfolios,” Information Systems Research (21:3), pp. 516_542.",1,2,Market,"Tries to explain competitive performance through structural IT capabilities and process factors, along with IR portfolio concentration and environmental turbulence.",Nominal,Technology as absent,Competitive dynamics perspective,Market,12,19,9,19,0.47,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Medium,"Adds ""IR portfolio concentration"", ""environmental turbulence"", and ""IT capabilities"" to the competitive dynamics perspective",-,-,Integrates an IT variable in a classical economics perspective,,3,,0,2013,,,,,,,,,,,,,,,,,,,,,,2,2,10,5,34,34,3,5,,,,,,,37,39,2010,Information Systems Research,21,3,,516,542,,75,10.1287/isre.1100.0299,http://www.scopus.com/inward/record.url?eid=2-s2.0-77957367409&partnerID=40&md5=14d5db9e9f835d80a79d33a43134aa54,Article,Scopus,2-s2.0-77957367409
1996,Experiment,ISR,"Weber, R. 1996. –Are Attributes Entities? A Study of Database Designersê Memory Structures,” Information Systems Research (7:2), pp. 137_162.",1,,Individual,"""To sharpen the focus of the debate, a multi-trial free-recall experiment was conducted with database designers who had been trained primarily in a binary conceptual schema design meth- odology. In the experiment, the designers were first shown conceptual schema diagrams basl'd on a binary model. The designers were then asked to recall the diagrams. Throughout their training as designers, they had been admonished to eschew any distinction between entities and attnbutes Moreover, the diagrams they were shown in the experiment did not make a distinction between entities and attributes. Their recall protocols seemed to show, however, that they were considering some elements of the diagrams to be entities and others to be attributes. Their memory structures appear to reflect, therefore, that they perceive entities and attributes to be two distinct constructs.""",Proxy,Technology as Perception,Database theory+perceptions,Individual,,16,8,19,0.42,Yes,Secondary,Exploration,Exploitation,Exploration,Exploration,Extending,Medium,Shows that attributes and entities are different constructs,-,-,Construct development of attributes and entities as discriminant constructs,,17,,7,2006,,,,,,,,,,1,,1,1,,,4,3,1,1,1,1,1,3,,1,11,19,,,,,,,,,11,19,1996,Information Systems Research,7,2,,137,162,,43,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0030486868&partnerID=40&md5=03ac5cd55ff17929d0f1132d6253d350,Article,Scopus,2-s2.0-0030486868
